"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","GO:0022626","cytosolic ribosome","63/461","86/5203",6.37915738976571e-49,2.73027936281972e-46,2.26292214773794e-46,"RPS11/RPL19/RPL5/RPL35A/RPLP1/RPL4/RPS4X/RPS18/RPS2/RPL10A/RPS12/RPLP0/RPL41/RPL35/RPL29/RPL36AL/RPL7A/RPS27/RPL3/RPL12/RPS13/RPL24/APOD/RPL13A/RPL11/RPS6/RPL36/RPS9/RPL18/RPL21/RPS21/RPS15/RPS27A/RPL34/RPS28/RPL13/RPS4Y1/RPS8/RPLP2/RPS16/RPL31/RPL7/RPL27/RPS25/RPL37A/RPS3A/RPS14/RPS19/RPL15/RPS24/RPL10/RPL8/RPS7/ISG15/RPS26/RPS5/RPL9/RPL32/RPL37/RPL27A/RPL39/RPL28/RPL38",63
"GO:0044391","GO:0044391","ribosomal subunit","64/461","136/5203",9.90994234707844e-33,2.12072766227478e-30,1.75771082682391e-30,"RPS11/RPL19/RPL5/RPL35A/RPLP1/RPL4/RPS4X/RPS18/RPS2/RPL10A/RPS12/RPLP0/RPL41/RPL35/RPL29/RPL36AL/RPL7A/RPS27/RPL3/RPL12/RPS13/RPL24/RPL13A/RPL11/RPS6/RPL36/RPS9/RPL18/RPL21/RPS21/RPS15/RPS27A/RPL34/RPS28/RPL13/RPS4Y1/RPS8/RPLP2/RPS16/RPL31/RPL7/RPL27/RPS25/MRPL41/RPL37A/RPS3A/RPS14/RPS19/RPL15/RPS24/RACK1/RPL10/RPL8/RPS7/ISG15/RPS26/RPS5/RPL9/RPL32/RPL37/RPL27A/RPL39/RPL28/RPL38",64
"GO:0005840","GO:0005840","ribosome","67/461","157/5203",5.15161020594495e-31,7.34963056048147e-29,6.09155312071386e-29,"RPS11/RPL19/RPL5/RPL35A/RPLP1/RPL4/RPS4X/RPS18/RPS2/RPL10A/RPS12/RPLP0/RPL41/RPL35/RPL29/RPL36AL/RPL7A/CANX/EEF2/RPS27/RPL3/RPL12/RPS13/RPL24/APOD/RPL13A/RPL11/RPS6/RPL36/RPS9/RPL18/RPL21/RPS21/RPS15/RPS27A/RPL34/RPS28/RPL13/RPS4Y1/RPS8/RPLP2/RPS16/RPL31/RPL7/RPL27/RPS25/MRPL41/RPL37A/RPS3A/RPS14/RPS19/RPL15/RPS24/RACK1/RPL10/RPL8/RPS7/ISG15/RPS26/RPS5/RPL9/RPL32/RPL37/RPL27A/RPL39/RPL28/RPL38",67
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","37/461","51/5203",1.17828915325945e-28,1.26076939398761e-26,1.04495643328535e-26,"RPL19/RPL5/RPL35A/RPLP1/RPL4/RPL10A/RPLP0/RPL41/RPL35/RPL29/RPL36AL/RPL7A/RPL3/RPL12/RPL24/RPL13A/RPL11/RPL36/RPL18/RPL21/RPL34/RPL13/RPLP2/RPL31/RPL7/RPL27/RPL37A/RPL15/RPL10/RPL8/RPL9/RPL32/RPL37/RPL27A/RPL39/RPL28/RPL38",37
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","25/461","35/5203",2.09195459730175e-19,1.7907131352903e-17,1.48418673534882e-17,"RPS11/RPS4X/RPS18/RPS2/RPS12/RPS27/RPS13/RPS6/RPS9/RPS21/RPS15/RPS27A/RPS28/RPS4Y1/RPS8/RPS16/RPS25/RPS3A/RPS14/RPS19/RPS24/RPS7/ISG15/RPS26/RPS5",25
"GO:0015934","GO:0015934","large ribosomal subunit","38/461","88/5203",4.32332199211972e-18,3.08396968771207e-16,2.55606931814798e-16,"RPL19/RPL5/RPL35A/RPLP1/RPL4/RPL10A/RPLP0/RPL41/RPL35/RPL29/RPL36AL/RPL7A/RPL3/RPL12/RPL24/RPL13A/RPL11/RPL36/RPL18/RPL21/RPL34/RPL13/RPLP2/RPL31/RPL7/RPL27/MRPL41/RPL37A/RPL15/RPL10/RPL8/RPL9/RPL32/RPL37/RPL27A/RPL39/RPL28/RPL38",38
"GO:1990904","GO:1990904","ribonucleoprotein complex","82/461","364/5203",1.33498276959179e-16,8.16246607693264e-15,6.76525102785613e-15,"RPS11/RPL19/RPL5/RPL35A/RPLP1/RPL4/RPS4X/RPS18/RPS2/RPL10A/RPS12/GAPDH/RPLP0/CALR/RPL41/RPL35/RPL29/RPL36AL/RPL7A/PABPC1/EEF2/ACTB/RPS27/ZFP36/RPL3/RPL12/RPS13/RPL24/RPL13A/RPL11/RPS6/RPL36/RPS9/RPL18/RPL21/RPS21/RPS15/RPS27A/RPL34/RPS28/RPL13/RPS4Y1/RPS8/RPLP2/RPS16/RPL31/RPL7/RPL27/HSPA1A/RN7SL1/RNVU1-7/RNVU1-15/RPS25/SNORA74A/RNU4-2/HSPA8/MRPL41/RPL37A/RPS3A/RPS14/RPS19/HSPA1B/HNRNPF/RPL15/RPS24/RACK1/RPL10/RPL8/RPS7/ISG15/RPS26/RPS5/RPL9/RPL32/RPL37/LGALS3/ZFP36L1/RPL27A/RPL39/RPL28/RPL38/EIF1",82
"GO:0005925","GO:0005925","focal adhesion","66/461","268/5203",1.87688198525064e-15,1.00413186210909e-13,8.32248985565088e-14,"ACTG1/RPS11/RPL19/RPL5/RPLP1/RPL4/RPS4X/RPS18/RPS2/RPL10A/RHOB/YWHAE/P4HB/RPLP0/HSPA5/CALR/RPL7A/PABPC1/PDIA3/HSP90B1/ACTB/TGM2/RPL3/B2M/RPL12/RPS13/PFN1/RPL13A/PPP1CB/RPS9/RPL18/HSPB1/RPS15/RPS8/RPLP2/CNN1/RPS16/RPL31/RPL7/RPL27/BSG/ARF1/HSPA1A/ALOX15B/HSPA8/GNB2/RPL37A/RPS3A/RPS14/YWHAZ/GRB7/RPS19/HSPA1B/EZR/YWHAG/RPL8/RPS7/RPS5/RPL9/CFL1/MYH9/RPL38/FLNA/SDC4/PGM5/CSRP1",66
"GO:0030055","GO:0030055","cell-substrate junction","66/461","271/5203",3.4062973194715e-15,1.53089270565746e-13,1.26884122431521e-13,"ACTG1/RPS11/RPL19/RPL5/RPLP1/RPL4/RPS4X/RPS18/RPS2/RPL10A/RHOB/YWHAE/P4HB/RPLP0/HSPA5/CALR/RPL7A/PABPC1/PDIA3/HSP90B1/ACTB/TGM2/RPL3/B2M/RPL12/RPS13/PFN1/RPL13A/PPP1CB/RPS9/RPL18/HSPB1/RPS15/RPS8/RPLP2/CNN1/RPS16/RPL31/RPL7/RPL27/BSG/ARF1/HSPA1A/ALOX15B/HSPA8/GNB2/RPL37A/RPS3A/RPS14/YWHAZ/GRB7/RPS19/HSPA1B/EZR/YWHAG/RPL8/RPS7/RPS5/RPL9/CFL1/MYH9/RPL38/FLNA/SDC4/PGM5/CSRP1",66
"GO:0015935","GO:0015935","small ribosomal subunit","26/461","50/5203",3.5768521160221e-15,1.53089270565746e-13,1.26884122431521e-13,"RPS11/RPS4X/RPS18/RPS2/RPS12/RPS27/RPS13/RPS6/RPS9/RPS21/RPS15/RPS27A/RPS28/RPS4Y1/RPS8/RPS16/RPS25/RPS3A/RPS14/RPS19/RPS24/RACK1/RPS7/ISG15/RPS26/RPS5",26
