"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","61/454","112/5022",1.76051732219507e-35,5.83259388843226e-32,5.12217881952333e-32,"RPS11/RPL19/RPL5/RPL35A/RPLP1/RPL4/RPS4X/RPS18/RPS2/RPL10A/RPS12/RPLP0/RPL41/RPL35/RPL29/RPL7A/EEF2/RPS27/RPL3/RPL12/RPS13/RPL24/RPL13A/RPL11/RPS6/RPL36/RPS9/RPL18/RPL21/RPS21/RPS15/RPS27A/RPL34/RPS28/RPL13/RPS8/RPLP2/RPS16/RPL31/RPL7/RPL27/RPS25/RPL37A/RPS3A/RPS14/RPS19/RPL15/RPS24/RPL10/RPL8/RPS7/RPS26/RPS5/RPL9/RPL32/RPL37/CNBP/RPL27A/RPL39/RPL28/RPL38",61
"GO:0006412","GO:0006412","translation","84/454","323/5022",9.68654100284557e-21,1.60457551712137e-17,1.40913680694027e-17,"RPS11/RPL19/RPL5/RPL35A/BTG2/RPLP1/RPL4/RPS4X/RPS18/RPS2/RPL10A/RPS12/EEF1A1/GAPDH/RPLP0/CALR/RPL41/RPL35/RPL29/RPL36AL/RPL7A/PABPC1/EEF2/RPS27/ZFP36/RPL3/RPL12/APP/RPS13/RPL24/CSDE1/RPL13A/RPL11/RPS6/RPL36/RPS9/RPL18/RPL21/RPS21/HSPB1/RPS15/RPS27A/RPL34/RPS28/RPL13/RPS4Y1/RPS8/RPLP2/RPS16/RPL31/RPL7/EEF1B2/RPL27/ATF4/IGFBP5/RPS25/MRPL41/RPL37A/RPS3A/RPS14/EIF5A/GRB7/ERBB2/RPS19/RPL15/RPS24/RACK1/RPL10/RPL8/RPS7/PLXNB2/RPS26/RPS5/RPL9/RPL32/RPL37/CNBP/ZFP36L1/RPL27A/RPL39/RPL28/RPL38/RGS2/EIF1",84
"GO:0043604","GO:0043604","amide biosynthetic process","90/454","367/5022",2.44346170188919e-20,2.37789723624929e-17,2.08826726007373e-17,"RPS11/RPL19/RPL5/RPL35A/BTG2/RPLP1/RPL4/RPS4X/RPS18/RPS2/RPL10A/RPS12/EEF1A1/GAPDH/RPLP0/DEGS1/CALR/RPL41/RPL35/RPL29/RPL36AL/RPL7A/PABPC1/EEF2/RPS27/ZFP36/RPL3/RPL12/APP/RPS13/RPL24/CSDE1/RPL13A/RPL11/RPS6/RPL36/RPS9/RPL18/RPL21/RPS21/HSPB1/RPS15/RPS27A/RPL34/RPS28/RPL13/RPS4Y1/RPS8/RPLP2/RPS16/RPL31/RPL7/EEF1B2/RPL27/ATF4/IGFBP5/RPS25/MRPL41/RPL37A/RPS3A/RPS14/EIF5A/ORMDL3/GRB7/ERBB2/ASS1/RPS19/ACLY/RPL15/RPS24/RACK1/RPL10/RPL8/RPS7/PLXNB2/RPS26/RPS5/RPL9/RPL32/RPL37/CNBP/CCN1/ZFP36L1/RPL27A/RPL39/RPL28/RPL38/ELOVL5/RGS2/EIF1",90
"GO:0043043","GO:0043043","peptide biosynthetic process","84/454","328/5022",2.87098972079601e-20,2.37789723624929e-17,2.08826726007373e-17,"RPS11/RPL19/RPL5/RPL35A/BTG2/RPLP1/RPL4/RPS4X/RPS18/RPS2/RPL10A/RPS12/EEF1A1/GAPDH/RPLP0/CALR/RPL41/RPL35/RPL29/RPL36AL/RPL7A/PABPC1/EEF2/RPS27/ZFP36/RPL3/RPL12/APP/RPS13/RPL24/CSDE1/RPL13A/RPL11/RPS6/RPL36/RPS9/RPL18/RPL21/RPS21/HSPB1/RPS15/RPS27A/RPL34/RPS28/RPL13/RPS4Y1/RPS8/RPLP2/RPS16/RPL31/RPL7/EEF1B2/RPL27/ATF4/IGFBP5/RPS25/MRPL41/RPL37A/RPS3A/RPS14/EIF5A/GRB7/ERBB2/RPS19/RPL15/RPS24/RACK1/RPL10/RPL8/RPS7/PLXNB2/RPS26/RPS5/RPL9/RPL32/RPL37/CNBP/ZFP36L1/RPL27A/RPL39/RPL28/RPL38/RGS2/EIF1",84
"GO:0006518","GO:0006518","peptide metabolic process","91/454","402/5022",4.80233270180062e-18,3.18202564821309e-15,2.79445212374251e-15,"RPS11/RPL19/RPL5/CLIC1/RPL35A/ANPEP/BTG2/RPLP1/RPL4/RPS4X/RPS18/RPS2/RPL10A/RPS12/EEF1A1/GAPDH/RPLP0/CALR/RPL41/RPL35/RPL29/RPL36AL/RPL7A/PABPC1/EEF2/RPS27/ZFP36/RPL3/RPL12/APP/RPS13/RPL24/CSDE1/RPL13A/RPL11/RPS6/RPL36/RPS9/RPL18/RPL21/RPS21/HSPB1/RPS15/RPS27A/RPL34/RPS28/RPL13/RPS4Y1/RPS8/RPLP2/RPS16/RPL31/RPL7/EEF1B2/RPL27/GLO1/GPX1/ATF4/IGFBP5/RPS25/MRPL41/RPL37A/RPS3A/RPS14/EIF5A/GRB7/ERBB2/RPS19/GSTP1/RPL15/RPS24/RACK1/RPL10/RPL8/RPS7/CPE/PLXNB2/RPS26/RPS5/RPL9/RPL32/RPL37/CNBP/ZFP36L1/RPL27A/RPL39/RPL28/RPL38/CLU/RGS2/EIF1",91
"GO:0043603","GO:0043603","cellular amide metabolic process","101/454","484/5022",2.2323793318982e-17,1.23264545442979e-14,1.08250815322221e-14,"RPS11/RPL19/RPL5/CLIC1/RPL35A/ANPEP/BTG2/RPLP1/RPL4/RPS4X/RPS18/RPS2/RPL10A/RPS12/EEF1A1/GAPDH/RPLP0/DEGS1/CALR/RPL41/RPL35/RPL29/RPL36AL/RPL7A/PABPC1/EEF2/RPS27/ZFP36/RPL3/RPL12/APP/RPS13/RPL24/CSDE1/PLPP1/RPL13A/RPL11/RPS6/RPL36/RPS9/RPL18/RPL21/RPS21/HSPB1/RPS15/RPS27A/RPL34/RPS28/RPL13/RPS4Y1/RPS8/RPLP2/RPS16/RPL31/RPL7/EEF1B2/RPL27/GLO1/GPX1/ATF4/IGFBP5/RPS25/MRPL41/RPL37A/RPS3A/RPS14/EIF5A/ORMDL3/GRB7/ERBB2/ASS1/RPS19/GSTP1/ACLY/RPL15/RPS24/RACK1/RPL10/RPL8/RPS7/CPE/FASN/PLXNB2/RPS26/RPS5/RPL9/RPL32/RPL37/CNBP/CCN1/ZFP36L1/PLAAT4/RPL27A/RPL39/RPL28/RPL38/ACSM1/ELOVL5/CLU/RGS2/EIF1",101
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","14/454","31/5022",1.25762565683897e-07,5.95216257301072e-05,5.22718393308708e-05,"RPS27/RPS6/RPS21/RPS15/RPS28/RPS8/RPS16/RPS25/RPS14/RPS19/RPS24/RPS7/RPS5/RPL38",14
"GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen","9/454","13/5022",1.92261900723681e-07,7.96204596371945e-05,6.99226175789809e-05,"HLA-C/B2M/AZGP1/HLA-DRA/HLA-E/HLA-B/HLA-A/CD74/HLA-DRB1",9
"GO:0019731","GO:0019731","antibacterial humoral response","14/454","33/5022",3.27500764972587e-07,0.000120556670483798,0.000105872761916284,"KLK3/SPON2/HLA-E/SLPI/LTF/HLA-A/H2BC21/IGHA1/SEMG2/SEMG1/PGC/DEFA5/DEFA6/RPL39",14
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen","8/454","12/5022",1.50190139391217e-06,0.000497579931803101,0.000436974258186656,"HLA-C/B2M/AZGP1/HLA-DRA/HLA-E/HLA-B/HLA-A/HLA-DRB1",8
